DMG1002AH2C1493;MG1CS002-2.3;EA839 KoVoMo - V6 (Audi);Yes;No;MG1CS002;810844;810847;;;;;;;;;
DMG1002AH2C1584;MG1CS002-2.3;EA839 KoVoMo - V6 (Audi);No;No;;;;;;;;;;;;
DMG1002AH2C1793;MG1CS002-2.3, 2.16/2.17;EA839 KoVoMo - V6 (Audi);Yes;Yes;MG1CS002;810844;810849;"VW MDL : MG1CS002_C / V6T_BiTurbo_AT_MHEV_FX_v8 ; 210202";1526695;SWB26.1;5.4.5.173((Build 22628));VeMoX140R16;VME;released;"DMG1002AH2C1793/Model/HiL/SWB26.1/VME/VW MDL : MG1CS002_C / V6T_BiTurbo_AT_MHEV_FX_v8 ; 210202";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/1526695
DMG1002AH2C1794;MG1CS002-2.3;EA839 KoVoMo - V6 (Audi);Yes;Yes;MG1CS002;810844;810850;VW MDL : MG1CS002_C_KoVOMo / V6T_Stereo_DCT_FX_v8;3580698;SWB26.1;5.4.5.173((Build 22628));;VME;released;DMG1002AH2C1794/Model/HiL/SWB26.1/VW MDL : MG1CS002_C_KoVOMo / V6T_Stereo_DCT_FX_v8;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3580698
DMG1002AH2C1839;MG1CS002-2.3;EA839 KoVoMo - V6 (Audi);No;No;;;;;;;;;;;;
DMG1002A01C1456;MG1CS002-2.1;EA839 KoVoMo - V6 (Audi);No;No;;;;;;;;;;;;
DMG1002A02C1645;MG1CS002-2.7;EA839 KoVoMo - V6 (Audi);Yes;Yes;MG1CS002;810844;810848;VW MDL : MG1CS002_C_KoVOMo / V6T_Mono_DCT_Macan;3238496;CSP LC 2023.1;5.4.15;VeMoX140R16;VME;development;DMG1002A02C1645/Model/HiL/CSP LC 2023.1/VME/VW MDL : MG1CS002_C_KoVOMo / V6T_Mono_DCT_Macan;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3238496
DMG1002PH2C1839;MG1CS002-2.19;EA839 KoVoMo - V6 (Porsche);Yes;Yes;MG1CS002;810844;810852;VW MDL : MG1CS002_C_KoVOMo / V6T_Stereo_DCT_PHEV_FX_v8;3675831;SWB26.1;5.4.5.173((Build 22628));;VME;released;DMG1002PH2C1839/Model/SWB26.1/VW MDL : MG1CS002_C_KoVOMo / V6T_Stereo_DCT_PHEV_FX_v8;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3675831
DMG1002PH2C1973;MG1CS002-2.20;EA839 KoVoMo - V6 (Porsche);Yes;No;MG1CS008;811795;1462270;;;;;;;;;
DMG1002PH2C1974;MG1CS002-2.20;EA839 KoVoMo - V6 (Porsche);Yes;Yes;MG1CS002;810844;810854;VW MDL : MG1CS002_C / V6T_Mono_AT_PHEV_FX_v8;3429329;SWB 26.1;5.4.5.173((Build 22628));;VME;released;DMG1002PH2C1974/Model/HiL/SWB 26.1/VME/VW MDL : MG1CS002_C / V6T_Mono_AT_PHEV_FX_v8;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3429329
DMG1008AH2C1795;MG1CS008-4.2, 6.12;EA839 - KoVoMo - V8 (Audi);No;No;;;;;;;;;;;;
DMG1008P01C1464;MG1CS008-3.1;EA839 - KoVoMo - V8 (Porsche);Yes;No;MG1CS008;811795;784295;;;;;;;;;
DMG1008PH2C1489;MG1CS008-4.2;EA839 - KoVoMo - V8 (Porsche);Yes;No;MG1CS008;811795;784328;;;;;;;;;
DMG1008PH2C1649;MG1CS008-4.2;EA839 - KoVoMo - V8 (Porsche);Yes;No;MG1CS008;811795;811995;;;;;;;;;
DMG1008PH2C1585;MG1CS008-4.2;EA839 - KoVoMo - V8 (Porsche);Yes;No;MG1CS008;811795;784316;;;;;;;;;
D1718P80A000;MED17.1.8;PAG V8 4,0 TSI EU6 KoVOMo MED17.1.8;No;No;;;;;;;;;;;;
D1718P8HA000;MED17.1.8;PAG V8 4,0 TSI EU6 KoVOMo MED17.1.8;No;No;;;;;;;;;;;;
DMG1164A01C2323;MG1CS164-1.2 (NAR);Audi EA855;No;No;;;;;;;;;;;;
DMG1163A01C2014;MG1CS163-4.7 (NAR);Audi EA855;No;No;;;;;;;;;;;;
D17162A02C000;MED17.1.62-3.3 (EU OPF);Audi EA855;No;No;;;;;;;;;;;;
D17162A01C000;MED17.1.62 (NAR);Audi EA855;No;No;;;;;;;;;;;;
D1711A11A000;MED17.1.1 (Slave);Audi V10HDZ;No;No;;;;;;;;;;;;
MMD114A0CA1788;MD1CS014-1.1;Audi V6 TDI Gen3Evo;No;No;;;;;;;;;;;;
PMD104A0BC1447;MD1CP004-2.1;Audi V6 TDI Gen2Evo;No;No;;;;;;;;;;;;
PMD104A0CC1467;MD1CP004-2.3;Audi V6 TDI Gen2Evo;No;No;;;;;;;;;;;;
PMD104A0QC1314;MD1CP004-2.1;Audi V6 TDI Gen2Evo;No;No;;;;;;;;;;;;
PMD104A0BC1503;MD1CP004-3.4;Audi V6 TDI Gen3;No;No;;;;;;;;;;;;
PMD104A0DC1551;MD1CP004-3.4;Audi V6 TDI Gen3;Yes;Yes;MD1CP004;785532;785533;"VW MDL_HIL : MD1CP004_C / V6_TDI_GEN3_MHEV_FXv8 ; 190124";267437;SWB26.1;5.4.5.173((Build 22628));;VME;released;"PMD104A0DC1551/Model/SWB26.1/VW MDL_HIL : MD1CP004_C / V6_TDI_GEN3_MHEV_FXv8 ; 190124";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/267437
PMD104A0MP1646;MD1CP004-3.11;Audi V6 TDI Gen3;No;No;;;;;;;;;;;;
PMD104A0QC1669;MD1CP004-3.8;Audi V6 TDI Gen2Evo;No;No;;;;;;;;;;;;
PMD114A0QC1351;MD1CP014-5.2;Audi V8 TDI Gen3;No;No;;;;;;;;;;;;
PMD114A0DC1508;MD1CP014-5.1;Audi V8 TDI Gen3;No;No;;;;;;;;;;;;
P1754A0AC1556 PL7, EU5;EDC17CP54-2.7;Audi V6 Gen2Evo (EDC17);Yes;No;EDC17CP54;2189604;3117101;;;;;;;;;
P1754A0AC1556 PL8;EDC17CP54-2.8;Audi V6 Gen2Evo (EDC17);Yes;No;EDC17CP54;2189604;3117101;;;;;;;;;
P1754A0QC1160;EDC17CP54-2.1;P1160 Audi V6TDI Gen2Evo CRS3-20 EU6 Q7NF AVS EDC17CP54;No;No;;;;;;;;;;;;
P1754A0CC1304;EDC17CP54-2.2;Audi V6 Gen2Evo (EDC17);No;No;;;;;;;;;;;;
P628;EDC17 CP24-2.1;Audi W19 EU6 BIN5;No;No;;;;;;;;;;;;
P860;EDC17CP24 2.3;Audi W19 EU6 BIN5;No;No;;;;;;;;;;;;
P1744A0QC930;EDC17CP44-3.3;Audi W19 EU6 BIN5;No;No;;;;;;;;;;;;
P1132;EDC17CP44 3.2;Audi W19 EU6 BIN5;No;No;;;;;;;;;;;;
P1744A0QC1133;EDC17CP44 3.3;Audi W19 EU6 BIN5;No;No;;;;;;;;;;;;
